30,11,0
30,30,1
30,0,2
11,30,0
11,0,1
11,11,2
30,0,0
30,11,1
30,2,2
0,11,0
0,2,1
0,3,2
11,2,0
11,3,1
11,2,2
2,3,0
2,2,1
2,6,2
3,2,0
3,6,1
3,21,2
2,6,0
2,21,1
2,20,2
6,21,0
6,20,1
6,21,2
21,20,0
21,21,1
21,15,2
20,21,0
20,15,1
20,9,2
21,15,0
21,9,1
21,0,2
15,9,0
15,0,1
15,7,2
9,0,0
9,7,1
9,10,2
0,7,0
0,10,1
0,2,2
7,10,0
7,2,1
7,11,2
10,2,0
10,11,1
10,9,2
2,11,0
2,9,1
2,20,2
11,9,0
11,20,1
11,9,2
9,20,0
9,9,1
9,11,2
20,9,0
20,11,1
20,30,2
9,11,0
9,30,1
9,0,2
11,30,0
11,0,1
11,18,2
30,0,0
30,18,1
30,4,2
0,18,0
0,4,1
0,27,2
18,4,0
18,27,1
18,4,2
4,27,0
4,4,1
4,28,2
27,4,0
27,28,1
27,1,2
4,28,0
4,1,1
4,12,2
28,1,0
28,12,1
28,1,2
1,12,0
1,1,1
1,8,2
12,1,0
12,8,1
12,1,2
1,8,0
1,1,1
1,27,2
8,1,0
8,27,1
8,4,2
1,27,0
1,4,1
1,12,2
27,4,0
27,12,1
27,4,2
4,12,0
4,4,1
4,3,2
12,4,0
12,3,1
12,2,2
4,3,0
4,2,1
4,22,2
3,2,0
3,22,1
3,2,2
2,22,0
2,2,1
2,10,2
22,2,0
22,10,1
22,2,2
2,10,0
2,2,1
2,25,2
10,2,0
10,25,1
10,0,2
2,25,0
2,0,1
2,15,2
25,0,0
25,15,1
25,0,2
0,15,0
0,0,1
0,8,2
15,0,0
15,8,1
15,4,2
0,8,0
0,4,1
0,1,2
8,4,0
8,1,1
8,33,2
4,1,0
4,33,1
4,1,2
1,33,0
1,1,1
1,12,2
33,1,0
33,12,1
33,3,2
1,12,0
1,3,1
1,12,2
12,3,0
12,12,1
12,5,2
3,12,0
3,5,1
3,3,2
12,5,0
12,3,1
12,23,2
5,3,0
5,23,1
5,0,2
3,23,0
3,0,1
3,23,2
23,0,0
23,23,1
23,3,2
0,23,0
0,3,1
0,2,2
23,3,0
23,2,1
23,29,2
3,2,0
3,29,1
3,0,2
2,29,0
2,0,1
2,8,2
29,0,0
29,8,1
29,1,2
0,8,0
0,1,1
0,18,2
8,1,0
8,18,1
8,4,2
1,18,0
1,4,1
1,5,2
18,4,0
18,5,1
18,1,2
4,5,0
4,1,1
4,19,2
5,1,0
5,19,1
5,1,2
1,19,0
1,1,1
1,16,2
19,1,0
19,16,1
19,19,2
1,16,0
1,19,1
1,16,2
16,19,0
16,16,1
16,1,2
19,16,0
19,1,1
19,19,2
16,1,0
16,19,1
16,16,2
1,19,0
1,16,1
1,19,2
19,16,0
19,19,1
19,16,2
16,19,0
16,16,1
16,1,2
19,16,0
19,1,1
19,3,2
16,1,0
16,3,1
16,23,2
1,3,0
1,23,1
1,3,2
3,23,0
3,3,1
3,7,2
23,3,0
23,7,1
23,10,2
3,7,0
3,10,1
3,2,2
7,10,0
7,2,1
7,0,2
10,2,0
10,0,1
10,6,2
2,0,0
2,6,1
2,1,2
0,6,0
0,1,1
0,13,2
6,1,0
6,13,1
6,19,2
1,13,0
1,19,1
1,1,2
13,19,0
13,1,1
13,31,2
19,1,0
19,31,1
19,1,2
1,31,0
1,1,1
1,27,2
31,1,0
31,27,1
31,1,2
1,27,0
1,1,1
1,28,2
27,1,0
27,28,1
1,28,0
