23,32,16,21,5
1,8,13,2,29
20,2,27,12,23
27,20,8,20,20
23,9,21,6,8
26,0,16,6,6
33,23,8,14,29
10,28,0,17,16
8,1,20,13,26
22,32,22,7,2
20,5,17,28,21
19,4,9,1,20
9,32,30,19,23
15,14,28,31,17
12,21,12,9,27
23,21,5,3,32
2,19,2,20,30
5,2,29,9,2
14,32,20,12,12
15,16,14,15,5
2,13,15,13,13
0,25,21,17,20
4,30,9,32,7
18,28,28,30,12
33,32,27,19,17
1,25,20,21,0
0,25,25,21,33
11,5,13,25,33
0,8,16,14,25
1,28,15,19,5
15,30,2,19,3
3,24,26,26,7
22,31,22,17,13
20,33,4,25,11
3,8,12,11,11
3,1,0,15,17
19,23,19,33,10
17,5,4,15,31
14,31,16,28,13
15,32,22,30,26
3,20,2,14,0
5,33,22,22,26
22,15,4,26,31
14,0,21,21,10
27,23,20,12,26
17,1,23,20,4
11,2,9,29,1
8,23,14,16,7
28,13,30,1,2
12,30,6,26,8
31,29,30,24,7
29,31,7,8,8
2,19,25,14,25
16,17,1,23,5
23,26,0,23,7
21,22,28,14,8
30,29,10,7,2
29,8,27,15,21
24,23,26,24,14
25,1,24,26,26
32,24,32,7,8
12,8,13,11,9
25,3,8,28,31
15,15,11,28,16
27,1,12,4,11
0,25,22,2,32
16,4,23,23,31
26,24,7,11,6
32,13,1,8,6
24,13,26,13,25
15,24,6,23,4
9,21,31,22,24
29,0,25,31,30
23,30,26,32,31
28,27,0,7,3
21,24,28,7,19
33,17,21,1,14
16,0,0,8,25
4,17,21,1,23
5,13,32,7,22
14,10,3,23,31
9,3,11,33,7
4,22,8,14,4
24,14,23,33,16
25,23,19,16,19
29,1,12,8,18
23,4,5,2,27
26,19,24,27,9
20,23,5,11,2
5,7,3,10,33
12,0,27,21,7
26,25,26,7,28
30,2,28,4,20
2,31,27,32,12
28,8,29,14,25
1,23,17,2,27
10,17,7,4,26
7,2,22,31,15
5,1,33,21,33
32,27,8,12,25
1,20,15,3,25
27,24,20,26,9
19,4,5,33,30
0,16,1,10,23
6,20,23,30,5
19,0,12,13,3
9,3,19,22,28
31,13,14,33,32
26,30,17,10,16
3,26,0,6,27
25,28,15,29,30
11,18,20,12,31
13,0,30,7,6
15,30,7,17,24
6,14,19,25,8
7,0,6,27,25
9,25,7,20,28
31,4,21,32,10
0,25,23,6,20
22,30,8,27,31
29,31,5,4,10
22,15,24,21,24
28,10,11,3,23
4,12,29,1,33
16,29,24,32,31
12,13,25,32,26
0,9,13,33,29
10,26,20,20,4
14,0,21,0,30
9,0,3,3,23
10,22,30,1,16
22,20,14,1,6
14,19,32,15,14
20,12,18,17,30
30,9,8,11,7
13,22,5,0,20
33,10,2,22,0
15,15,30,30,32
5,19,1,12,27
30,14,29,33,24
11,19,1,20,23
0,8,24,30,13
29,11,23,15,13
17,30,14,19,2
14,32,13,10,4
6,33,10,28,29
6,20,19,19,17
12,16,26,13,11
23,2,26,27,33
30,11,7,15,33
30,7,29,14,21
0,21,33,11,16
2,8,23,16,30
22,5,6,16,21
32,25,33,19,11
27,19,20,13,7
23,11,23,12,29
33,7,8,24,0
10,5,12,29,26
31,28,20,29,30
21,12,25,9,21
25,17,17,18,31
30,0,29,3,4
16,19,15,29,1
8,21,2,23,19
11,28,4,12,19
14,27,8,18,1
3,33,4,24,9
33,15,20,10,10
2,27,0,10,11
15,3,8,29,24
22,22,29,14,33
19,4,21,32,2
3,21,29,12,15
27,12,12,28,13
6,9,23,8,20
23,31,13,20,23
27,24,17,23,18
10,4,24,6,3
31,28,0,22,12
22,25,14,28,29
30,1,7,32,2
33,29,19,10,22
0,19,23,9,13
32,25,16,18,1
23,4,31,0,11
22,33,27,8,30
19,26,17,8,25
19,31,9,19,13
13,22,15,9,3
16,5,29,12,21
2,14,26,27,19
19,3,17,7,27
33,25,8,6,25
23,5,24,9,21
23,5,2,13,4
13,18,19,12,7
15,11,30,1,9
5,25,24,10,27
6,16,13,26,6
12,24,30,1,30
14,20,2,17,13
20,20,30,5,30
14,10,7,18,2
11,28,28,16,18
19,2,23,13,4
28,30,10,1,31
7,23,20,27,11
8,11,12,10,33
33,17,31,0,32
33,30,21,32,25
0,19,16,29,25
0,9,9,22,27
0,22,4,21,11
27,27,1,28,32
16,33,25,32,16
19,16,25,18,5
24,26,9,18,0
11,2,29,17,0
32,29,28,16,22
1,17,33,21,32
31,7,6,27,22
24,24,27,2,18
7,25,19,24,21
1,16,2,27,23
15,20,6,5,27
21,6,16,19,7
4,13,16,0,30
6,26,21,26,31
7,13,20,23,8
32,0,19,11,9
20,31,6,33,8
2,24,16,10,11
1,3,14,25,24
4,0,11,4,30
27,19,12,6,33
1,13,17,17,14
16,1,2,17,25
31,20,11,25,32
32,31,26,3,8
27,28,16,11,16
12,13,4,12,25
25,12,16,24,10
20,21,13,17,10
33,5,26,0,30
22,18,0,33,4
27,9,5,32,20
15,10,20,16,27
11,23,1,15,3
29,6,27,28,25
32,7,7,9,8
14,6,15,23,14
25,28,21,10,2
11,4,18,22,10
28,31,6,1,31
2,2,30,30,23
2,7,27,24,0
17,12,11,7,17
27,13,2,1,23
15,15,4,33,1
17,7,7,17,25
14,6,15,27,31
9,20,31,31,19
15,13,24,13,24
7,26,10,15,10
24,5,6,0,33
9,21,8,20,18
18,2,32,17,21
14,6,29,10,2
0,2,5,23,7
24,3,28,21,21
7,25,22,10,1
12,4,18,12,23
24,32,32,29,25
27,4,30,32,17
16,22,1,12,15
6,0,10,7,4
10,9,33,27,22
33,17,29,2,8
22,24,12,29,27
9,23,7,4,9
14,7,26,14,1
18,24,3,16,18
24,26,4,9,2
21,2,27,33,14
19,27,25,25,27
30,29,28,2,5
20,28,26,11,22
31,14,29,7,15
9,6,33,29,24
21,23,19,21,28
19,17,9,28,15
6,21,22,8,29
2,21,9,13,27
25,31,25,6,9
